"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"173",173,"Toronto Raptors",9,"Sat Nov 12 2016","vs","New York Knicks","W",NA,118,107,7,2,"W 3",2016-11-12,1
"174",174,"Toronto Raptors",10,"Tue Nov 15 2016","@","Cleveland Cavaliers","L",NA,117,121,7,3,"L 1",2016-11-14,0
"175",175,"Toronto Raptors",11,"Wed Nov 16 2016","vs","Golden State Warriors","L",NA,121,127,7,4,"L 2",2016-11-16,0
"176",176,"Toronto Raptors",12,"Fri Nov 18 2016","@","Denver Nuggets","W","OT",113,111,8,4,"W 1",2016-11-17,1
"177",177,"Toronto Raptors",13,"Sun Nov 20 2016","@","Sacramento Kings","L",NA,99,102,8,5,"L 1",2016-11-19,0
"178",178,"Toronto Raptors",14,"Mon Nov 21 2016","@","Los Angeles Clippers","L",NA,115,123,8,6,"L 2",2016-11-21,0
"179",179,"Toronto Raptors",15,"Wed Nov 23 2016","@","Houston Rockets","W",NA,115,102,9,6,"W 1",2016-11-23,1
"180",180,"Toronto Raptors",16,"Fri Nov 25 2016","@","Milwaukee Bucks","W",NA,105,99,10,6,"W 2",2016-11-25,1
"181",181,"Toronto Raptors",17,"Mon Nov 28 2016","vs","Philadelphia 76ers","W",NA,122,95,11,6,"W 3",2016-11-27,1
"182",182,"Toronto Raptors",18,"Wed Nov 30 2016","vs","Memphis Grizzlies","W",NA,120,105,12,6,"W 4",2016-11-29,1
"183",183,"Toronto Raptors",19,"Fri Dec 2 2016","vs","Los Angeles Lakers","W",NA,113,80,13,6,"W 5",2016-12-01,1
"184",184,"Toronto Raptors",20,"Sat Dec 3 2016","vs","Atlanta Hawks","W",NA,128,84,14,6,"W 6",2016-12-02,1
"185",185,"Toronto Raptors",21,"Mon Dec 5 2016","vs","Cleveland Cavaliers","L",NA,112,116,14,7,"L 1",2016-12-05,0
"186",186,"Toronto Raptors",22,"Thu Dec 8 2016","vs","Minnesota Timberwolves","W",NA,124,110,15,7,"W 1",2016-12-07,1
"187",187,"Toronto Raptors",23,"Fri Dec 9 2016","@","Boston Celtics","W",NA,101,94,16,7,"W 2",2016-12-09,1
"188",188,"Toronto Raptors",24,"Mon Dec 12 2016","vs","Milwaukee Bucks","W",NA,122,100,17,7,"W 3",2016-12-10,1
"189",189,"Toronto Raptors",25,"Wed Dec 14 2016","@","Philadelphia 76ers","W",NA,123,114,18,7,"W 4",2016-12-12,1
"190",190,"Toronto Raptors",26,"Fri Dec 16 2016","vs","Atlanta Hawks","L",NA,121,125,18,8,"L 1",2016-12-14,0
"191",191,"Toronto Raptors",27,"Sun Dec 18 2016","@","Orlando Magic","W",NA,109,79,19,8,"W 1",2016-12-16,1
"192",192,"Toronto Raptors",28,"Tue Dec 20 2016","vs","Brooklyn Nets","W",NA,116,104,20,8,"W 2",2016-12-17,1
"193",193,"Toronto Raptors",29,"Fri Dec 23 2016","@","Utah Jazz","W",NA,104,98,21,8,"W 3",2016-12-20,1
"194",194,"Toronto Raptors",30,"Mon Dec 26 2016","@","Portland Trail Blazers","W",NA,95,91,22,8,"W 4",2016-12-21,1
"195",195,"Toronto Raptors",31,"Wed Dec 28 2016","@","Golden State Warriors","L",NA,111,121,22,9,"L 1",2016-12-23,0
